t,action,vx,vy,vz,x,y,z,collided
20.68,hover,0.0,0.0,0.0,23.150100708007812,4.260026931762695,-3.576592206954956,0
21.22,ascend,0.0,0.0,-1.0,23.582962036132812,4.39361047744751,-4.076918601989746,0
21.77,right,2.0,-1.5,0.0,23.921499252319336,4.37221622467041,-4.326045989990234,0
22.31,right,2.0,-1.5,0.0,24.538787841796875,4.025236129760742,-4.407219886779785,0
22.85,left,2.0,1.5,0.0,25.358293533325195,3.7086181640625,-4.54274320602417,0
23.39,left,2.0,1.5,0.0,26.281721115112305,3.8646280765533447,-4.658089637756348,0
23.93,right,2.0,-1.5,0.0,27.252300262451172,4.091852188110352,-4.760317802429199,0
24.48,forward,3.0,0.0,0.0,28.321855545043945,4.003134250640869,-4.80397367477417,0
25.04,forward,3.0,0.0,0.0,29.58383560180664,3.922231674194336,-4.8218092918396,0
25.59,ascend,0.0,0.0,-1.0,30.688983917236328,3.8868117332458496,-5.347433090209961,0
26.14,forward,3.0,0.0,0.0,31.49978256225586,3.8696699142456055,-5.632877349853516,0
26.68,right,2.0,-1.5,0.0,32.48816680908203,3.750979423522949,-5.657172679901123,0
27.21,right,2.0,-1.5,0.0,33.50431442260742,3.3466973304748535,-5.671541690826416,0
27.77,descend,0.0,0.0,1.0,34.40239715576172,2.8629066944122314,-5.370696544647217,0
28.31,right,2.0,-1.5,0.0,35.01583480834961,2.482628107070923,-5.29624605178833,0
28.82,forward,3.0,0.0,0.0,35.84906768798828,2.0607736110687256,-5.3961029052734375,0
29.36,hover,0.0,0.0,0.0,36.7695198059082,1.817745327949524,-5.503307819366455,0
29.87,ascend,0.0,0.0,-1.0,37.23543167114258,1.7145814895629883,-6.013790607452393,0
30.38,descend,0.0,0.0,1.0,37.487579345703125,1.6599323749542236,-5.990541934967041,0
30.88,forward,3.0,0.0,0.0,37.90120315551758,1.6323668956756592,-5.871694087982178,0
31.39,ascend,0.0,0.0,-1.0,38.62183380126953,1.6226767301559448,-6.315462589263916,0
31.89,forward,3.0,0.0,0.0,39.255088806152344,1.618193507194519,-6.504289627075195,0
32.4,descend,0.0,0.0,1.0,40.0385627746582,1.6158970594406128,-6.148352146148682,0
32.91,right,2.0,-1.5,0.0,40.63678741455078,1.482142448425293,-6.046485424041748,0
33.42,hover,0.0,0.0,0.0,41.24269104003906,1.173668384552002,-6.072056770324707,0
33.92,descend,0.0,0.0,1.0,41.624752044677734,0.9636589288711548,-5.706510066986084,0
34.42,right,2.0,-1.5,0.0,41.984107971191406,0.728031575679779,-5.63901948928833,0
34.93,descend,0.0,0.0,1.0,42.49131393432617,0.3653600215911865,-5.326842308044434,0
35.43,left,2.0,1.5,0.0,42.950740814208984,0.3085911273956299,-5.297610282897949,0
35.94,hover,0.0,0.0,0.0,43.498634338378906,0.5337157845497131,-5.353674411773682,0
36.46,forward,3.0,0.0,0.0,44.04618453979492,0.6828674077987671,-5.468675136566162,0
37.0,forward,3.0,0.0,0.0,45.00979995727539,0.7581068873405457,-5.570826530456543,0
37.54,hover,0.0,0.0,0.0,46.0111083984375,0.7932469248771667,-5.6841959953308105,0
38.08,left,2.0,1.5,0.0,46.72209167480469,0.916443407535553,-5.756315231323242,0
38.61,right,2.0,-1.5,0.0,47.531341552734375,1.093483805656433,-5.859869003295898,0
39.14,forward,3.0,0.0,0.0,48.50632858276367,0.981746256351471,-5.918900966644287,0
39.67,left,2.0,1.5,0.0,49.65214157104492,1.0030760765075684,-6.001333236694336,0
40.21,forward,3.0,0.0,0.0,50.82025909423828,1.245922327041626,-6.020576000213623,0
40.75,ascend,0.0,0.0,-1.0,51.87025451660156,1.3872665166854858,-6.545661926269531,0
41.29,right,2.0,-1.5,0.0,52.59223937988281,1.3841708898544312,-6.8318352699279785,0
41.83,ascend,0.0,0.0,-1.0,53.24802780151367,1.1441583633422852,-7.28631067276001,0
42.36,hover,0.0,0.0,0.0,53.65108871459961,0.9661934971809387,-7.448923587799072,0
42.9,right,2.0,-1.5,0.0,54.01236343383789,0.7581779956817627,-7.497787952423096,0
43.43,left,2.0,1.5,0.0,54.65898895263672,0.5392700433731079,-7.631107807159424,0
43.98,right,2.0,-1.5,0.0,55.487361907958984,0.5164832472801208,-7.687522888183594,0
44.52,right,2.0,-1.5,0.0,56.41745376586914,0.1907092034816742,-7.738148212432861,0
45.07,left,2.0,1.5,0.0,57.378692626953125,-0.11453941464424133,-7.86536979675293,0
45.63,hover,0.0,0.0,0.0,58.22236633300781,-0.062615767121315,-7.982449531555176,0
46.34,right,2.0,-1.5,0.0,58.824951171875,-0.1087709367275238,-8.067777633666992,0
47.01,hover,0.0,0.0,0.0,59.43214797973633,-0.36383721232414246,-8.112025260925293,0
47.64,hover,0.0,0.0,0.0,59.77738571166992,-0.52870774269104,-8.153322219848633,0
48.19,hover,0.0,0.0,0.0,59.94755172729492,-0.6115481853485107,-8.161748886108398,0
48.74,forward,3.0,0.0,0.0,60.278621673583984,-0.6495988368988037,-8.348938941955566,0
49.34,descend,0.0,0.0,1.0,60.93700408935547,-0.6698495745658875,-8.08349323272705,0
49.88,hover,0.0,0.0,0.0,61.30686569213867,-0.6793674230575562,-7.970437049865723,0
50.42,left,2.0,1.5,0.0,61.63187789916992,-0.5661969184875488,-8.05836296081543,0
50.95,descend,0.0,0.0,1.0,62.11385726928711,-0.2748987674713135,-7.73269510269165,0
