step,x,y,z
0,5.166213035583496,1.529126762989108e-07,-2.7467501163482666
1,5.070970058441162,1.929674198208886e-07,-2.7523837089538574
2,5.009533405303955,2.2480492134491215e-07,-2.7565343379974365
3,4.970768928527832,2.5925336899490503e-07,-2.7596235275268555
4,4.965246677398682,2.8427598408597987e-07,-2.760953664779663
5,4.981348514556885,3.125184946384252e-07,-2.7619757652282715
6,5.010338306427002,3.3853979175546556e-07,-2.7628345489501953
7,5.039709568023682,3.632596019542689e-07,-2.763598680496216
8,5.057387351989746,3.831553669897403e-07,-2.7640609741210938
9,5.065816879272461,4.042440195917152e-07,-2.7643544673919678
10,4.996784687042236,5.1972270011901855,-2.716161012649536
11,4.997909069061279,5.11558723449707,-2.720806121826172
12,4.998861789703369,5.046804428100586,-2.725338935852051
13,4.999527454376221,4.999410152435303,-2.728830575942993
14,4.999777793884277,4.982821464538574,-2.7309062480926514
15,4.999718189239502,4.988081932067871,-2.7316837310791016
16,4.999383926391602,5.013823509216309,-2.7326786518096924
17,4.999109268188477,5.033415794372559,-2.7332208156585693
18,4.998719215393066,5.061535835266113,-2.733957052230835
19,4.998553276062012,5.0735859870910645,-2.7342772483825684
20,-0.2250998318195343,4.996023654937744,-2.684511184692383
21,-0.1393308788537979,4.997445106506348,-2.68914794921875
22,-0.06116628274321556,4.998758792877197,-2.6942503452301025
23,-0.009888612665235996,4.999652862548828,-2.697998285293579
24,0.00945807620882988,5.000024318695068,-2.7000153064727783
25,0.00409091729670763,4.999990940093994,-2.7012939453125
26,-0.019623732194304466,4.99963903427124,-2.702209711074829
27,-0.043819986283779144,4.999239921569824,-2.7028889656066895
28,-0.0652337595820427,4.998877048492432,-2.703456401824951
29,-0.0825323536992073,4.998571395874023,-2.7039318084716797
30,0.004393668845295906,-0.2302851378917694,-2.6518449783325195
31,0.002979966113343835,-0.14866183698177338,-2.656120777130127
32,0.0014013490872457623,-0.05989997088909149,-2.6618034839630127
33,0.0004760368319693953,-0.010495999827980995,-2.6653785705566406
34,7.594551425427198e-05,0.007148095406591892,-2.6675221920013428
35,0.00015426120080519468,-0.0013139944057911634,-2.6684446334838867
36,0.0005766535177826881,-0.029239123687148094,-2.669386625289917
37,0.0010121142258867621,-0.055301688611507416,-2.6700778007507324
38,0.001466628978960216,-0.08036283403635025,-2.6707231998443604
39,0.0017043219413608313,-0.09175102412700653,-2.6710474491119385
